Timestamp,Purchase Price,US Zip Code,Credit Card Number,Product ID,Customer Name
2021-05-26,70.28,70304,503808195260,YgZ-47186678,Cody Berg
2021-11-26,29.12,19564,3584987024031110,Iay-98988131,Henry Burke
2021-03-16,88.03,26025,4166415605627811,VSK-86151831,Tamara Martin
2022-12-06,84.91,89229,370533266147562,ELx-71532696,Jackson Daniels
2021-07-04,69.81,52229,4950317566685574,Tlf-87379029,Billy Clark
2022-07-01,47.13,70880,4373395015711445187,qkq-99261503,Kelly Nguyen
2022-01-26,85.11,46562,4400866934161045,SPn-85042887,Adrienne Johnson
2021-06-09,92.85,97333,4401339297971813,Yvl-99530485,Stephanie Parker
2022-11-13,14.23,20880,2458644139109563,nHE-35499459,Stanley Hernandez
2021-10-06,69.68,04790,30539195310587,CBy-56146591,Robin Cummings
2021-02-17,17.57,52849,30369128700930,hhp-39508760,Jamie Bonilla
2022-10-21,74.23,47239,349030032721802,icC-94630304,Christopher Johnson
2021-02-17,51.74,03268,676126805446,teb-02783410,Joseph Mills
2021-09-22,88.07,23622,4442755248139286,bLG-03202423,Desiree Anderson
2021-02-09,71.03,65493,2283773533912248,KyW-80885205,Brandi Taylor
2021-02-08,76.49,92069,3549923895648694,TLB-03072474,Jeffrey Chavez
2022-11-03,46.36,45527,3579055762603321,wht-78691008,Nancy Jefferson
2022-12-03,35.59,72356,4266924628418,hKl-86264398,Jeremy Sullivan
2021-08-19,71.12,41904,349663865987825,riy-37847753,Dennis Guerrero
2021-03-01,79.95,78670,3582990160654846,TNv-74440137,Luis Ibarra
2021-06-30,89.39,29464,502005872523,ZIL-05376494,Julie Nguyen
2021-09-29,89.33,50254,4601661541110920364,Rgu-37911101,John Yoder
2021-02-07,37.78,70921,4966238044067,ckE-63548380,Steven Horn
2021-12-21,86.52,53505,4723977119686869009,fyD-19804011,Ebony Kelly
2021-05-10,75.85,22094,6538605494343084,ugU-10254165,Christopher Hanna
2021-05-11,22.63,81384,2296398078501720,Vvo-51114100,Edward Houston
2022-05-08,98.81,67240,3540180049930747,GRk-18271478,Jason Hawkins
2021-11-02,91.57,49691,6586349815150214,cAx-16522627,Larry Pope
2021-02-12,34.15,42581,4553629800387604372,cXv-40006370,Brian Jones
2022-07-02,65.62,58008,675937757143,jru-12708814,Nicolas Lowe
2021-11-01,22.18,65390,36874395748177,pjN-44669449,Marie Robles
2022-06-11,87.87,56611,5195386722433767,wqz-22419159,Connor Collier
2022-12-04,15.05,68704,2586307832644519,vlh-75028174,Margaret Velasquez
2022-07-11,11.87,74361,3502921698142969,qQM-73765961,Robert Warner
2021-01-23,54.91,79919,4283804053518,PMg-84496294,Brett Rasmussen
2022-05-28,22.56,81296,675980518277,WjZ-34896960,Ashley Davis
2021-10-16,28.08,41168,676295029281,wKo-25589305,Christopher Morales
2022-08-04,66.28,49152,6011800513478575,nmU-47946699,Miranda Parker
2022-06-11,61.31,12016,30046055206343,XrB-72143805,Kevin Moore
2021-09-02,10.94,69663,4698872617466,fTf-42717113,Danny Norris
2021-06-26,95.01,36007,3575947478209092,TWC-06397989,Brian Davis
2021-03-07,65.77,27461,4077573323521878,tlK-52602143,Emily Torres
2022-03-22,30.34,49587,6524560037398101,eHj-96622507,April Combs
2022-10-17,31.85,44453,4781114327334393,XZi-14292960,Angela English
2021-03-21,57.58,78736,2261666262814765,irc-22896702,Chris Richardson
2022-03-05,67.14,33433,3526692993915159,leI-32152469,Timothy Jones
2021-01-22,33.93,83298,3550196554214183,ylW-90250097,Sierra Oconnor
2021-07-10,23.41,60338,38227981999886,aZV-30517120,Kevin Johnson
2022-09-06,80.93,69555,3515366218438254,zVk-94616929,Dr. Ashley Chang
2021-05-22,60.77,54744,3507023752148266,SsY-16659762,Jack Patterson
2022-10-05,23.09,04907,373127356867028,jEF-92025241,Tara Williams
2021-11-28,24.45,25777,3553646101150501,HCJ-74086155,James Mora
2022-11-18,10.98,73223,6011106329903628,uTw-59302144,Megan Higgins
2021-09-02,69.04,31810,4536021511281,hLm-93776264,Brian Smith
2022-10-09,69.97,70416,4863615869309,riW-16026885,Rodney Morales
2022-11-24,22.76,11960,377836742290382,yae-75070122,Paula Flores
2021-01-11,14.88,94085,30300000715167,zFI-72033061,Janet Donovan
2021-04-25,42.55,81822,584814772110,RVh-32034513,Kristina Mosley
2022-09-11,35.15,99137,4372570224031389,ssE-65786810,Danielle Rivas
2021-04-01,78.48,53479,4430552778362782,QZn-72650315,Steven Wheeler
2021-05-11,50.29,64775,4048632959164360941,xZZ-82488696,Manuel Petersen
2022-06-26,52.49,84170,4312879723701100,Lnk-90935419,Samantha Smith
2021-11-26,63.09,69169,6011928871731440,jug-53096415,Stephanie Weiss
2021-03-18,51.06,16908,3594819224929108,DZI-73435870,Cory Foster
2021-06-09,25.94,57307,180001798663662,hCa-93783345,Christina Kennedy
2022-12-22,59.04,11308,4349423580044674734,vib-14094956,Ryan Hamilton
2022-12-17,27.52,46335,4226264655882183,ZKQ-86999558,Vincent Mendez
2021-05-08,28.99,50666,2615991978405978,uLN-33873200,Charles Hawkins
2022-04-28,65.82,75201,562962624168,nbu-21754014,Michelle Montgomery
2021-02-05,11.16,06749,4413809288641,pWm-33552516,Taylor Hanson
2021-02-18,40.99,62664,180074363168144,sND-78486051,Kathryn Smith
2021-03-21,94.64,78489,4653397341496414,puh-93759406,Kevin Smith
2022-05-09,97.99,54724,2720734162915556,WFV-26959923,Blake Reynolds
2021-08-06,44.47,31050,3535726194490015,jks-75798913,Albert Smith
2021-04-12,11.5,79101,4094367929690024,Xrt-91627613,Joseph Anderson
2022-05-10,86.41,41781,4190077998364038,gvD-25350700,Joshua Reed
2021-06-28,28.75,61043,213130799785199,rTP-89708131,Jeanne Cole
2021-10-22,88.79,89186,4651257653860602095,tRH-64282924,Anthony Ross
2022-03-24,53.42,44429,30043001692817,pUi-22542149,Keith Murray
2022-07-17,23.66,98622,30033387797215,KTK-12072104,Kelsey Adams
2021-10-30,96.57,98728,3587913323529270,wzz-88675147,William Pruitt
2022-01-22,79.63,93956,4531468712212793,Whm-80855898,Jared Gardner
2021-06-03,49.99,92688,4428755475481278380,sxE-62200836,Maurice Cruz
2021-08-20,96.53,35109,3593108962764401,vVe-52483455,Trevor Johnson
2021-04-07,70.54,59779,345255573394289,oEE-64346033,Katrina Valdez
